Time,Neck joint Bend Front/Back,Neck joint Twist Left/Right,Neck joint Lean Right/Left,Lumbar joint Bend Front/Back,Lumbar joint Twist Left/Right,Lumbar joint Lean Right/Left,Right shoulder Flex/Ext,Right shoulder Abd/Add,Right shoulder Int/Ext,Right elbow Flex/Ext,Right elbow Val/Var,Right elbow Int/Ext,Right wrist Abd/Add,Right wrist Flex/Ext,Right wrist Int/Ext,Right hip Flex/Ext,Right hip Abd/Add,Right hip Int/Ext,Right knee Flex/Ext,Right knee Varus/Valgus,Right knee Int/Ext,Right ankle Plantar/Dorsi,Right ankle Int/Ext,Right ankle Sup/Pro,Left shoulder Flex/Ext,Left shoulder Abd/Add,Left shoulder Int/Ext,Left elbow Flex/Ext,Left elbow Val/Var,Left elbow Int/Ext,Left wrist Abd/Add,Left wrist Flex/Ext,Left wrist Int/Ext,Left hip Flex/Ext,Left hip Abd/Add,Left hip Int/Ext,Left knee Flex/Ext,Left knee Varus/Valgus,Left knee Int/Ext,Left ankle Plantar/Dorsi,Left ankle Int/Ext,Left ankle Sup/Pro,
2.2,19.9781,-3.978,-4.8494,8.2964,-1.8085,0.29362,7.0782,17.7695,-99.336,4.8494,155.8403,-97.8858,7.9514e-16,165.9638,-90,-9.9392e-17,-153.4349,0,9.9392e-17,26.5651,0,-1.2921e-15,114.6807,0,7.3116,2.7686,90.8404,1.2258,-119.0424,100.2544,-9.9392e-17,0,0,-9.9392e-17,153.4349,0,9.9392e-17,-26.5651,0,-5.9635e-16,-101.9603,0,
2.3,20.0085,-3.9389,-4.8943,8.289,-1.7752,0.23434,7.019,18.1236,-99.2547,4.8618,155.842,-97.8666,0,0,-90,0,-90,0,-3.1806e-15,-135.4511,0,7.9514e-16,-78.0264,0,7.285,3.0437,90.9074,1.2297,-119.236,100.27,9.9392e-17,-104.0362,0,0,90,0,-3.1806e-15,135.4511,0,1.9878e-16,86.9676,0,
2.4,20.0329,-3.9044,-4.9674,8.285,-1.7848,0.23194,6.9858,18.2141,-99.2011,4.8629,155.8688,-97.8424,0,90,-90,6.3611e-15,0,0,3.1806e-15,0.89517,0,-3.9757e-16,96.9153,0,7.2239,2.9351,90.8712,1.2412,-119.3645,100.2675,-1.9878e-16,0,0,6.3611e-15,0,0,3.1806e-15,-0.89517,0,-5.9635e-16,-100.3144,0,
2.5,20.072,-3.9764,-4.9242,8.281,-1.829,0.25764,6.9531,17.9145,-99.2088,4.8468,155.5385,-97.8428,-7.9514e-16,-36.8699,-90,6.3611e-15,-0.89517,0,0,-90,0,-3.9757e-16,-94.7517,0,7.165,2.5988,90.769,1.2283,-118.9997,100.2578,1.4909e-16,-180,0,6.3611e-15,0.89517,0,0,90,0,4.9696e-16,84.0627,0,
2.6,20.1297,-4.016,-4.9459,8.2805,-1.8642,0.30238,6.9018,17.6871,-99.2235,4.8215,155.5198,-97.8795,0,-90,-90,9.9392e-17,-26.5651,0,-3.2799e-15,-179.1319,0,-1.9878e-16,-94.5059,0,7.1126,2.2051,90.6257,1.2264,-118.6884,100.2317,2.4848e-16,122.0054,0,9.9392e-17,26.5651,0,-3.1806e-15,-179.1048,0,-3.9757e-16,92.562,0,
2.7,20.0604,-4.0285,-4.9884,8.2733,-1.8957,0.35335,6.862,17.6794,-99.2451,4.8037,155.6849,-97.8792,-7.9514e-16,41.1859,-90,0,180,0,0,0,0,1.9878e-16,68.593,0,7.1108,1.7003,90.4975,1.2227,-118.5685,100.2388,1.2424e-16,-180,0,0,180,0,0,0,0,0,90,0,
2.8,19.9987,-4.1064,-4.9731,8.2801,-1.9276,0.40711,6.8524,17.6356,-99.2369,4.8099,155.7951,-97.8412,7.9514e-16,159.444,-90,9.9392e-17,-89.0978,0,-3.1806e-15,180,0,9.9392e-16,-43.9633,0,7.1383,1.2955,90.4436,1.2562,-118.9573,100.2471,-1.9878e-16,-63.4349,0,9.9392e-17,89.0978,0,-3.2799e-15,177.3974,0,5.9635e-16,-83.6982,0,
2.9,19.9089,-4.2086,-4.9387,8.2949,-1.9731,0.46111,6.899,17.3005,-99.2306,4.8102,155.7244,-97.7655,1.5903e-15,159.444,-90,6.3114e-15,-0.45114,0,3.1806e-15,-45,0,-1.2921e-15,-116.5685,0,7.1791,0.84993,90.3826,1.2743,-119.2261,100.2614,1.7394e-16,-180,0,6.3114e-15,0.45114,0,3.1806e-15,45.4441,0,-6.4605e-16,104.0545,0,
3,19.926,-4.3075,-4.8847,8.293,-1.9746,0.47653,6.9184,16.8845,-99.2387,4.8224,155.3733,-97.7604,7.9514e-16,-172.875,-90,6.3611e-15,0,0,3.1806e-15,45,0,-1.143e-15,126.3736,0,7.1841,0.80776,90.3612,1.281,-119.3265,100.2453,1.7394e-16,-180,0,6.3611e-15,0,0,3.1806e-15,-45,0,-1.0436e-15,-123.9144,0,
3.1,19.8954,-4.3422,-4.9256,8.2969,-1.9654,0.47578,6.9154,16.6792,-99.3207,4.8025,155.234,-97.7556,0,90,-90,4.9696e-17,-89.5489,0,-3.1309e-15,180,0,6.4605e-16,82.0517,0,7.1752,0.64644,90.269,1.2593,-118.9825,100.2393,-2.4848e-17,86.4237,0,4.9696e-17,89.5489,0,-3.0315e-15,-178.1221,0,4.4727e-16,-72.8065,0,
3.2,19.7605,-4.3677,-4.9072,8.3162,-1.9728,0.46976,6.8903,16.5649,-99.4291,4.7493,155.3259,-97.7741,7.9514e-16,-165.9638,-90,-6.3611e-15,179.5524,0,4.9696e-17,-89.1048,0,-2.9818e-16,93.5558,0,7.1696,0.47178,90.2395,1.2617,-118.9134,100.2122,-7.4544e-17,0,0,-6.3611e-15,-179.5524,0,4.9696e-17,89.1048,0,-6.4605e-16,-97.6712,0,
3.3,19.7025,-4.4021,-4.8488,8.37,-1.9337,0.46063,6.8808,16.5848,-99.4232,4.7362,155.1175,-97.8004,0,90,-90,6.3611e-15,0,0,3.2303e-15,0.8814,0,-6.4605e-16,98.9124,0,7.1986,0.43518,90.3047,1.2793,-119.0283,100.2066,1.553e-16,-180,0,6.3611e-15,0,0,3.2303e-15,-0.8814,0,3.4787e-16,-69.7828,0,
3.4,19.7204,-4.4674,-4.7172,8.4275,-1.878,0.44469,6.8562,16.4944,-99.3777,4.7295,154.727,-97.9145,7.9514e-16,172.875,-90,6.4108e-15,-44.5524,0,-4.9696e-17,-135,0,1.3915e-15,66.3988,0,7.2007,0.69082,90.3865,1.2591,-118.5531,100.1634,-3.3132e-16,0,0,6.4108e-15,44.5524,0,-4.9696e-17,135,0,1.3915e-15,66.3423,0,
3.5,19.7229,-4.5405,-4.6183,8.4489,-1.8373,0.42765,6.8328,16.4688,-99.3401,4.7284,154.8249,-98.0418,0,0,-90,6.3611e-15,45,0,3.0812e-15,45,0,9.9392e-17,88.9086,0,7.1956,1.3375,90.5578,1.2207,-118.0011,100.1817,-1.8015e-16,-65.6235,0,6.3611e-15,-45.2229,0,3.1806e-15,-45,0,-1.0933e-15,133.5622,0,
3.6,19.7706,-4.5481,-4.5882,8.4553,-1.7988,0.41614,6.8153,16.6878,-99.3608,4.7273,155.0424,-98.1489,0,90,-90,-6.2617e-15,180,0,-9.9392e-17,180,0,-1.0436e-15,-108.4349,0,7.2272,2.1313,90.7266,1.2081,-117.886,100.1923,9.9392e-17,104.0362,0,-6.2617e-15,180,0,-9.9392e-17,-180,0,-8.4483e-16,105.1047,0,
3.7,19.7556,-4.5231,-4.4826,8.4602,-1.7315,0.38068,6.7941,16.7128,-99.3744,4.7101,155.5438,-98.3287,0,-90,-90,0,-90,0,0,0,0,-1.2921e-15,-163.2123,0,7.2664,2.9567,90.88,1.2058,-117.8768,100.2012,-2.4848e-17,0,0,0,90,0,0,0,0,-1.8885e-15,168.2468,0,
3.8,19.0804,-3.0347,-4.3886,8.464,-1.6837,0.36954,6.7642,16.8278,-99.4041,4.7584,155.4768,-98.4159,0,90,-90,6.3611e-15,44.7753,0,0,90,0,1.143e-15,62.2516,0,7.271,3.1687,91.0108,1.1967,-117.9911,100.2411,-1.2424e-17,0,0,6.3611e-15,-44.7753,0,-9.9392e-17,153.4349,0,1.0436e-15,-78.9669,0,
3.9,17.5603,1.8792,-4.1414,8.4269,-1.6641,0.43498,6.7515,16.7766,-99.4341,4.7585,155.7826,-98.4244,0,-90,-90,0,-90,0,-3.1806e-15,179.1048,0,-4.9696e-17,92.0517,0,7.2795,2.7564,91.0668,1.1931,-117.4628,100.1933,-1.8947e-16,-64.5193,0,0,90,0,-3.1806e-15,-179.1048,0,4.4727e-16,84.8596,0,
